dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
diabetes,21,1,uniform,0.8086365853658537,0.791462686567164
diabetes,14,2,uniform,0.804209756097561,0.7774925373134329
diabetes,7,1,uniform,0.785178861788618,0.764179104477612
diabetes,12,1,distance,0.8092772357723579,0.7768955223880598
diabetes,20,1,distance,0.8141788617886178,0.785910447761194
diabetes,21,2,distance,0.8141252032520324,0.7818507462686567
diabetes,13,1,uniform,0.806330081300813,0.781910447761194
diabetes,4,2,distance,0.7871455284552844,0.7208955223880598
diabetes,15,1,uniform,0.8052121951219512,0.780179104477612
diabetes,14,2,distance,0.8106008130081299,0.7776716417910448
diabetes,7,1,distance,0.7892918699186993,0.7598805970149253
diabetes,28,1,distance,0.8130642276422766,0.8054328358208955
diabetes,19,1,distance,0.8138170731707316,0.7888358208955224
diabetes,15,2,uniform,0.8056178861788619,0.7802388059701493
diabetes,14,2,uniform,0.804209756097561,0.7774925373134329
diabetes,3,1,distance,0.7522357723577235,0.6994626865671643
diabetes,26,1,distance,0.8113154471544716,0.8040597014925374
diabetes,4,1,uniform,0.775320325203252,0.7188656716417912
diabetes,11,2,distance,0.8095674796747966,0.7717611940298508
diabetes,23,1,distance,0.8148252032520326,0.802268656716418
diabetes,17,1,uniform,0.8099024390243903,0.7905671641791046
diabetes,25,2,distance,0.8146626016260162,0.7841194029850745
diabetes,9,2,distance,0.8078268292682926,0.7603582089552239
diabetes,12,2,uniform,0.8034845528455286,0.767820895522388
diabetes,22,2,distance,0.8166121951219513,0.7818507462686567
diabetes,27,1,distance,0.813539837398374,0.8077611940298507
diabetes,30,2,uniform,0.8119154471544716,0.7917611940298508
diabetes,19,2,distance,0.8124105691056911,0.7733731343283582
diabetes,1,1,uniform,0.6455528455284553,0.6497313432835822
diabetes,17,2,distance,0.8160325203252032,0.7787462686567165
diabetes,10,1,distance,0.8054154471544717,0.7734328358208955
diabetes,5,2,distance,0.79539918699187,0.7204776119402985
diabetes,8,1,distance,0.7982382113821138,0.7644776119402985
diabetes,13,1,distance,0.8096837398373984,0.7778507462686568
diabetes,27,2,uniform,0.811739024390244,0.7837611940298507
diabetes,19,1,uniform,0.808921138211382,0.7864477611940299
diabetes,11,1,distance,0.8055869918699186,0.7717611940298508
diabetes,15,1,distance,0.8098804878048782,0.7768955223880597
diabetes,25,1,uniform,0.8052731707317073,0.8040597014925374
diabetes,5,2,uniform,0.7903252032520325,0.7127761194029851
diabetes,23,2,uniform,0.8105219512195122,0.7875820895522389
diabetes,6,1,uniform,0.7811650406504065,0.7495522388059701
diabetes,20,2,uniform,0.8086317073170731,0.7765373134328358
diabetes,29,1,uniform,0.8062227642276423,0.8119999999999999
diabetes,8,2,distance,0.8062983739837399,0.744
diabetes,28,2,uniform,0.811929268292683,0.7874029850746269
diabetes,20,2,distance,0.814460975609756,0.7770746268656715
diabetes,25,2,uniform,0.8065910569105691,0.7829253731343284
diabetes,8,1,uniform,0.7947170731707317,0.7684776119402985
diabetes,8,1,distance,0.7982382113821138,0.7644776119402985
diabetes,2,2,uniform,0.7378243902439026,0.7162985074626865
diabetes,16,1,uniform,0.8095260162601626,0.7805373134328358
diabetes,24,1,uniform,0.8102845528455284,0.8031641791044777
diabetes,18,1,uniform,0.8101609756097561,0.7874029850746269
diabetes,22,1,uniform,0.8107528455284554,0.8011343283582091
diabetes,2,1,distance,0.7154073170731708,0.68644776119403
diabetes,26,2,uniform,0.8086097560975609,0.7831044776119404
diabetes,10,1,uniform,0.8012837398373984,0.7796417910447762
cancer,13,2,distance,0.7718190204196893,0.7657116944088775
cancer,25,2,uniform,0.778089448841462,0.76689302481556
cancer,14,2,uniform,0.7734470371797662,0.7578386988598255
cancer,25,1,distance,0.7794586729965249,0.7722471190781051
cancer,24,1,distance,0.7788540957538495,0.7725596000243887
cancer,22,2,uniform,0.7756249629130523,0.7613407719041522
cancer,19,2,uniform,0.776276162719679,0.7606014877141637
cancer,17,2,uniform,0.7736669842224281,0.7570193890616426
cancer,29,2,distance,0.7832031813764491,0.7781613925980123
cancer,1,2,distance,0.6174099764779228,0.6610801170660325
cancer,30,1,uniform,0.7803771835233071,0.772468142186452
cancer,9,1,uniform,0.7618141597244474,0.7531514846655691
cancer,28,1,uniform,0.7774328066972462,0.7691261203585147
cancer,30,2,distance,0.7823233907041521,0.7803563807084934
cancer,20,1,distance,0.7751797222228893,0.7686040485336261
cancer,12,1,uniform,0.7650427311683863,0.7534906408145845
cancer,27,2,distance,0.7822828001968898,0.7734360709712823
cancer,16,1,distance,0.7710256897775585,0.764351259069569
cancer,30,1,distance,0.7805941852762197,0.776751417596488
cancer,6,2,distance,0.7568093807527208,0.7430644472897995
cancer,10,2,distance,0.7684403316702084,0.7565278031827327
cancer,30,2,uniform,0.7791168075048643,0.7793198585452106
cancer,23,2,distance,0.7775556541515025,0.7705665813060179
cancer,26,2,distance,0.7810303297469405,0.772624382659594
cancer,18,2,distance,0.7758799063735673,0.7652887019084201
cancer,21,2,distance,0.7776194358839204,0.7705703920492653
cancer,29,1,distance,0.7790618951012507,0.7765837448936039
cancer,8,2,uniform,0.7618488611710695,0.7461473385769161
cancer,27,1,distance,0.778433402406009,0.7737142552283398
cancer,29,2,uniform,0.7813907622100917,0.7780775562465705
cancer,28,2,distance,0.783244783622078,0.7734589354307665
cancer,3,2,distance,0.7017770142649462,0.7169303700993842
cancer,15,2,distance,0.7735054571187613,0.7668892140723127
cancer,4,1,distance,0.7211457165331242,0.7318799158587892
cancer,3,1,distance,0.6995712107349735,0.716476891652948
cancer,7,1,uniform,0.7496555644659532,0.7317236753856473
cancer,22,1,distance,0.77802406337329,0.7702769648192184
cancer,18,1,uniform,0.7737278075314389,0.7594849399426864
cancer,14,1,distance,0.7660192044131205,0.7624992378513504
cancer,11,2,uniform,0.7670980567532976,0.7541956283153466
cancer,23,1,uniform,0.7794263091176132,0.7698044326565453
cancer,21,1,uniform,0.7762730906052556,0.7622667825132614
cancer,26,1,uniform,0.7777348606326291,0.7641111822449851
cancer,11,1,distance,0.765412952718432,0.7633947625144808
cancer,27,2,uniform,0.7802997640955631,0.7705437168465337
cancer,24,2,distance,0.7795702088423833,0.7722013901591366
cancer,5,2,uniform,0.7435155435266498,0.7351952624839949
