dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
diabetes,0.08083973481164612,9.0,26.0,54.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0230893825622149,28.0,47.0,8.0,0.6922985074626865,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.060999665778262095,8.0,47.0,36.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0909320402078782,4.0,50.0,41.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.07553614103176526,6.0,54.0,43.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.05677003278199915,29.0,18.0,27.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.04497541333697657,10.0,36.0,15.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0727271995856421,15.0,8.0,15.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.019598286241914523,25.0,40.0,22.0,0.7222487562189054,0.7005373134328358,0.7845970149253731,0.08405970149253739
diabetes,0.038867728968948204,18.0,47.0,54.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.05867511656638483,25.0,45.0,42.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.02962735057040824,13.0,1.0,26.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.09868869366005173,24.0,1.0,45.0,0.6009950248756218,0.5,0.7845970149253731,0.28459701492537315
diabetes,0.029348817471803814,11.0,51.0,18.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.071134195274865,3.0,33.0,6.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0926300878513349,26.0,41.0,29.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.08631034258755936,8.0,12.0,35.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.009541011649041132,23.0,23.0,25.0,0.7759800995024876,0.740955223880597,0.7845970149253731,0.04364179104477617
diabetes,0.06659223566174967,12.0,40.0,23.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.08872127425763265,1.0,35.0,38.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.09717120953891038,3.0,1.0,6.0,0.6009950248756218,0.5,0.7845970149253731,0.28459701492537315
diabetes,0.05612771975694963,14.0,39.0,28.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.05227328293819941,15.0,26.0,43.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.043933650186577015,19.0,32.0,40.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.04753702231821118,29.0,32.0,5.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0907566473926093,23.0,39.0,46.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.05398410913016732,29.0,36.0,14.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0076979909828793,27.0,51.0,23.0,0.7477810945273632,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.08804678390152577,10.0,45.0,58.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.010549425983027062,28.0,28.0,45.0,0.7677810945273631,0.740955223880597,0.7845970149253731,0.04364179104477617
diabetes,0.018657005888603584,11.0,58.0,56.0,0.7220895522388059,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.08960912999234932,7.0,33.0,2.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.02279351625419417,25.0,52.0,14.0,0.6922985074626865,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.08607305832563435,7.0,6.0,9.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.053408941937544196,5.0,33.0,52.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.026941233379852148,24.0,15.0,55.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.021876421957307025,24.0,41.0,53.0,0.7029651741293531,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0363629602379294,17.0,58.0,53.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.02468760628386012,7.0,2.0,4.0,0.6922985074626865,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.03008783098167697,17.0,56.0,18.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0266781014275285,2.0,2.0,29.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.005147875124998935,5.0,32.0,34.0,0.7718009950248756,0.7623880597014925,0.7845970149253731,0.022208955223880666
diabetes,0.06343513447013638,2.0,53.0,45.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.04477831645730917,6.0,32.0,56.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.06721355474058786,11.0,56.0,18.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.07282163486118597,24.0,5.0,53.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0983423140894843,22.0,11.0,49.0,0.6009950248756218,0.5,0.7845970149253731,0.28459701492537315
diabetes,0.07983451249845512,9.0,59.0,7.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.06958128067908818,3.0,20.0,37.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0016587828927856153,3.0,19.0,21.0,0.7582089552238805,0.758268656716418,0.7845970149253731,0.026328358208955183
diabetes,0.064517279040945,20.0,41.0,34.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.039757202108752235,7.0,18.0,41.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.013752094414599327,28.0,57.0,26.0,0.7220895522388059,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.02090716207377137,10.0,35.0,8.0,0.7029651741293531,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.06599840460341791,26.0,48.0,58.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.05166358912710143,17.0,2.0,2.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.009310276780589922,12.0,5.0,38.0,0.7851144278606966,0.740955223880597,0.7845970149253731,0.04364179104477617
diabetes,0.08826363431893397,23.0,9.0,42.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.03492095746126609,16.0,16.0,4.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.08563242918780925,22.0,56.0,34.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.06420316461542878,11.0,49.0,9.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.07853406511139437,8.0,20.0,36.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.03722827665617431,25.0,35.0,26.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0005061583846218687,14.0,18.0,3.0,0.7852139303482587,0.7952238805970149,0.7845970149253731,-0.010626865671641728
diabetes,0.06918951976926933,16.0,41.0,37.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.07121792213475359,1.0,14.0,22.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.017882270922132883,24.0,8.0,8.0,0.7388059701492536,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.07209399242521293,1.0,48.0,13.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.050881407683876,22.0,55.0,23.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.02439896433790836,6.0,38.0,46.0,0.6922985074626865,0.6417313432835822,0.7845970149253731,0.14286567164179098
