dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
cancer,13,1,distance,0.743753901977505,0.7403664410706663
cancer,17,1,distance,0.7448825881764141,0.7428129382354733
cancer,12,2,uniform,0.7463137349270317,0.7372035241753552
cancer,7,1,distance,0.7295691722998845,0.7378132430949333
cancer,21,1,distance,0.7476772222492508,0.7547634290592037
cancer,26,1,distance,0.7477338748294944,0.7646256325833791
cancer,1,1,distance,0.6046944801447653,0.6525135662459607
cancer,20,2,distance,0.7520474103077299,0.7498170843241265
cancer,7,2,distance,0.7319741888932134,0.7282787634900312
cancer,28,1,distance,0.7469815336429912,0.7658565026522772
cancer,30,2,distance,0.7522458486270356,0.7771858423266875
cancer,8,1,distance,0.7324280897557873,0.7347798914700323
cancer,1,1,distance,0.6046944801447653,0.6525135662459607
cancer,27,2,uniform,0.7506304245905613,0.7796247180049997
cancer,27,2,distance,0.7507617893834228,0.7729940247545881
alzheimer,13,2,distance,0.7349647580281385,0.6896400483968541
alzheimer,25,2,uniform,0.7533950229819033,0.7261116152450091
alzheimer,14,2,uniform,0.7378790695887074,0.7037205081669692
alzheimer,25,1,distance,0.7653130322238166,0.7343768905021173
alzheimer,24,1,distance,0.7638456321648789,0.7320780399274047
alzheimer,22,2,uniform,0.7510263905933827,0.7291666666666667
alzheimer,19,2,uniform,0.74392917266265,0.725975499092559
alzheimer,17,2,uniform,0.7439277718311326,0.7114942528735633
alzheimer,29,2,distance,0.7624777134854944,0.7387628554143981
alzheimer,1,2,distance,0.5729591727989352,0.5582274652147611
alzheimer,30,1,uniform,0.768691498807059,0.7553312159709619
alzheimer,30,1,distance,0.7698888718346402,0.7557622504537205
alzheimer,28,1,distance,0.7697554945773074,0.7464004839685421
alzheimer,16,1,distance,0.748164430363146,0.7282819116757411
alzheimer,9,1,uniform,0.7132946255881202,0.7094903206291592
alzheimer,21,1,uniform,0.7593060376732076,0.7317226255293406
alzheimer,29,1,distance,0.7686835758425152,0.748805202661827
alzheimer,28,1,uniform,0.7674043150525938,0.7466727162734422
alzheimer,30,2,uniform,0.7632235244518828,0.7420372050816696
alzheimer,3,1,distance,0.6632663023164213,0.6139670296430733
alzheimer,8,2,uniform,0.7214584655689242,0.661085904416213
alzheimer,19,1,distance,0.7538680968553232,0.7233741681790684
alzheimer,13,1,uniform,0.734416657562379,0.7243042952208106
alzheimer,6,1,distance,0.697811447630908,0.6716273442226256
alzheimer,26,1,uniform,0.76575399588866,0.7370840895341803
alzheimer,27,2,uniform,0.7584263344707549,0.7291515426497277
alzheimer,27,1,distance,0.7653750028206535,0.7383545069570477
alzheimer,5,2,distance,0.6838613568896447,0.6385813672111313
alzheimer,25,1,distance,0.7653130322238166,0.7343768905021173
alzheimer,23,1,distance,0.7634241203973356,0.732017543859649
alzheimer,30,2,distance,0.7639712501114297,0.7412885662431942
alzheimer,11,2,uniform,0.7269429611344099,0.6875226860254083
alzheimer,12,1,distance,0.730974533575608,0.7183227465214761
alzheimer,18,1,uniform,0.7501343714678994,0.7255747126436781
alzheimer,3,1,distance,0.6632663023164213,0.6139670296430733
alzheimer,22,1,distance,0.7614991689963589,0.7304143980641258
alzheimer,21,2,distance,0.7492230177396209,0.7228675136116152
alzheimer,15,1,distance,0.7424615391317928,0.7258091349062311
alzheimer,20,1,uniform,0.7546547201654723,0.7254461584996976
alzheimer,26,2,distance,0.7560166719058212,0.7282970356926801
alzheimer,23,2,distance,0.7526955360839229,0.7252722323049003
alzheimer,9,2,uniform,0.7229410960400705,0.6784709618874774
alzheimer,28,2,distance,0.7612984870349356,0.7323805202661828
alzheimer,14,2,uniform,0.7378790695887074,0.7037205081669692
alzheimer,16,2,distance,0.7393893514016023,0.713021778584392
alzheimer,11,2,uniform,0.7269429611344099,0.6875226860254083
alzheimer,16,1,uniform,0.7453611615105119,0.7275105868118572
alzheimer,24,1,uniform,0.762874194047114,0.7299304295220811
alzheimer,1,1,uniform,0.5901155373216593,0.5089382940108892
alzheimer,18,2,distance,0.7453656605925987,0.7180429522081067
alzheimer,17,1,distance,0.7509918333980129,0.7276013309134907
alzheimer,5,1,uniform,0.6875875363305767,0.6620311554748941
alzheimer,10,1,distance,0.7199169917958639,0.7171279491833031
alzheimer,21,1,distance,0.7607551107450032,0.7315789473684211
alzheimer,24,2,uniform,0.7526921747585352,0.7242816091954023
alzheimer,26,1,distance,0.7670230297148313,0.7385813672111314
alzheimer,3,2,uniform,0.6618836346908441,0.6227616454930429
alzheimer,20,2,distance,0.7487734558290119,0.7177707199032063
alzheimer,8,1,distance,0.7107146720680227,0.6943436176648519
alzheimer,14,1,distance,0.7409783797182832,0.7243345432546884
alzheimer,7,2,uniform,0.7144633139652179,0.6522383545069571
alzheimer,11,1,uniform,0.7256634266573099,0.725287356321839
alzheimer,12,2,uniform,0.7307860351619881,0.6927102238354508
alzheimer,15,2,distance,0.7394624320222488,0.7061857229280097
alzheimer,7,1,uniform,0.6970110991880316,0.6825846944948578
alzheimer,27,2,distance,0.759400359211629,0.7288868723532971
alzheimer,10,2,distance,0.727757025773289,0.6892468239564429
alzheimer,29,1,uniform,0.7671098058653062,0.7484195402298851
alzheimer,6,2,uniform,0.6947291284482071,0.6513157894736843
alzheimer,24,2,distance,0.7540515912619392,0.7236388384754991
alzheimer,23,1,uniform,0.7621174205128651,0.730096793708409
alzheimer,25,1,uniform,0.7645404870470002,0.7325241984271021
alzheimer,18,1,uniform,0.7501343714678994,0.7255747126436781
alzheimer,13,2,uniform,0.7332498341679117,0.6914095583787054
alzheimer,8,2,distance,0.7190004112010221,0.657856926799758
alzheimer,29,2,uniform,0.7620321083095225,0.7400483968542045
alzheimer,21,2,uniform,0.7475569626800163,0.7248714458560193
alzheimer,18,1,distance,0.7527893057796252,0.7269736842105263
alzheimer,17,2,distance,0.745070081791134,0.7114186327888687
alzheimer,4,1,uniform,0.6688258183302491,0.6513006654567453
alzheimer,4,2,distance,0.6787510777130834,0.6387250453720508
alzheimer,10,1,uniform,0.7160513921964078,0.7223306110102843
