dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_mean
diabetes,9,2,uniform,0.8009333333333333,0.7636417910447761,0.800597014925373,0.03695522388059691
diabetes,2,2,distance,0.739889430894309,0.7149850746268656,0.800597014925373,0.0856119402985075
diabetes,15,2,uniform,0.8056178861788619,0.7802388059701493,0.800597014925373,0.020358208955223778
diabetes,12,1,distance,0.8092772357723579,0.7768955223880598,0.800597014925373,0.02370149253731324
diabetes,15,1,distance,0.8098804878048782,0.7768955223880597,0.800597014925373,0.02370149253731335
diabetes,17,2,distance,0.8160325203252032,0.7787462686567165,0.800597014925373,0.021850746268656573
diabetes,8,2,distance,0.8062983739837399,0.744,0.800597014925373,0.05659701492537306
diabetes,30,2,distance,0.8177764227642277,0.7912835820895522,0.800597014925373,0.009313432835820867
diabetes,10,2,distance,0.8053235772357723,0.7663880597014925,0.800597014925373,0.034208955223880566
diabetes,29,1,distance,0.8129056910569105,0.8095522388059702,0.800597014925373,-0.008955223880597107
diabetes,26,2,distance,0.8143341463414634,0.783044776119403,0.800597014925373,0.01755223880597001
diabetes,10,2,distance,0.8053235772357723,0.7663880597014925,0.800597014925373,0.034208955223880566
diabetes,14,1,distance,0.8099113821138211,0.7788059701492538,0.800597014925373,0.02179104477611926
diabetes,15,2,distance,0.8114121951219511,0.7817313432835822,0.800597014925373,0.01886567164179087
diabetes,23,2,uniform,0.8105219512195122,0.7875820895522389,0.800597014925373,0.0130149253731342
diabetes,30,2,uniform,0.8119154471544716,0.7917611940298508,0.800597014925373,0.008835820895522262
diabetes,16,1,distance,0.8146593495934958,0.7804179104477613,0.800597014925373,0.02017910447761173
diabetes,15,1,distance,0.8098804878048782,0.7768955223880597,0.800597014925373,0.02370149253731335
diabetes,26,1,distance,0.8113154471544716,0.8040597014925374,0.800597014925373,-0.003462686567164308
diabetes,28,2,uniform,0.811929268292683,0.7874029850746269,0.800597014925373,0.013194029850746136
diabetes,9,1,uniform,0.7970422764227643,0.7715223880597015,0.800597014925373,0.029074626865671527
diabetes,13,1,uniform,0.806330081300813,0.781910447761194,0.800597014925373,0.018686567164179047
diabetes,7,1,distance,0.7892918699186993,0.7598805970149253,0.800597014925373,0.04071641791044778
diabetes,1,2,distance,0.670869918699187,0.6561194029850747,0.800597014925373,0.1444776119402984
diabetes,24,1,uniform,0.8102845528455284,0.8031641791044777,0.800597014925373,-0.0025671641791046307
diabetes,19,1,distance,0.8138170731707316,0.7888358208955224,0.800597014925373,0.011761194029850652
diabetes,3,1,uniform,0.7551764227642278,0.6960597014925374,0.800597014925373,0.10453731343283568
diabetes,27,1,distance,0.813539837398374,0.8077611940298507,0.800597014925373,-0.0071641791044776415
diabetes,7,2,uniform,0.7912585365853659,0.7410746268656718,0.800597014925373,0.059522388059701226
diabetes,28,1,uniform,0.8059617886178861,0.809492537313433,0.800597014925373,-0.008895522388059907
