dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
heart,0.0,14.0,39.0,2.0,0.7879609964194633,0.769617159923975
heart,0.0011326390014215306,24.0,40.0,2.0,0.7875412203717099,0.7726232496799968
heart,0.0,26.0,39.0,60.0,0.7879609964194633,0.769617159923975
diabetes,0.04101039588533139,22.0,56.0,20.0,0.6515422885572139,0.6417313432835822
diabetes,0.08373883555532845,27.0,19.0,57.0,0.6515422885572139,0.6417313432835822
diabetes,0.044483251230115185,28.0,7.0,27.0,0.6515422885572139,0.6417313432835822
diabetes,0.08123959883573634,6.0,36.0,49.0,0.6515422885572139,0.6417313432835822
diabetes,0.07995534416071731,14.0,32.0,44.0,0.6515422885572139,0.6417313432835822
diabetes,0.07340280179855684,28.0,11.0,13.0,0.6515422885572139,0.6417313432835822
diabetes,0.061707935850231634,23.0,22.0,53.0,0.6515422885572139,0.6417313432835822
diabetes,0.05434030676903126,28.0,30.0,51.0,0.6515422885572139,0.6417313432835822
diabetes,0.09554779863099283,21.0,52.0,26.0,0.6515422885572139,0.5
diabetes,0.0003630307254743227,25.0,45.0,17.0,0.7714626865671641,0.7667462686567164
diabetes,0.005750352877266576,2.0,2.0,48.0,0.7167562189054726,0.7157014925373134
diabetes,0.0,30.0,60.0,60.0,0.7521990049751244,0.7564179104477613
diabetes,0.0,30.0,60.0,2.0,0.7521990049751244,0.7564179104477613
diabetes,0.0,7.0,31.0,55.0,0.7821890547263681,0.7829850746268657
diabetes,0.0,30.0,31.0,2.0,0.7821890547263681,0.7829850746268657
diabetes,0.008665343883785006,25.0,32.0,30.0,0.7767761194029851,0.7508059701492537
diabetes,0.0026091018017698592,1.0,33.0,2.0,0.6515422885572139,0.6417313432835822
diabetes,0.049282813235102425,30.0,1.0,3.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,19.0,21.0,60.0,0.7913432835820894,0.802865671641791
diabetes,0.0,30.0,15.0,28.0,0.7850547263681592,0.8162388059701493
diabetes,0.0,11.0,60.0,60.0,0.7521990049751244,0.7564179104477613
diabetes,0.0,30.0,31.0,44.0,0.7821890547263681,0.7829850746268657
diabetes,0.010203973270429115,1.0,1.0,58.0,0.6515422885572139,0.6417313432835822
diabetes,0.0,21.0,1.0,60.0,0.7756417910447762,0.8094328358208955
diabetes,0.0,20.0,1.0,2.0,0.665273631840796,0.7041194029850747
diabetes,0.0,30.0,19.0,60.0,0.7917213930348259,0.8114626865671641
diabetes,0.0,19.0,32.0,32.0,0.7799402985074627,0.7829850746268657
diabetes,0.0,19.0,13.0,56.0,0.7828258706467661,0.8105671641791045
diabetes,0.0,19.0,22.0,51.0,0.7882388059701492,0.7921194029850745
diabetes,0.005463182389266761,30.0,16.0,60.0,0.7756218905472636,0.7675820895522387
diabetes,0.0,19.0,6.0,42.0,0.7843781094527363,0.8331940298507463
diabetes,0.0,19.0,12.0,41.0,0.7849154228855721,0.8267462686567164
